,Node,Degree,Strenght,Clustering coefficient,Average path length,Maximum path length,Betweenness,Eigenvector centrality,PageRank
2090,NGI,1,24.0,0.0,5.416252072968491,12,0.0,2.3753398318779028e-06,4.733458427616655e-05
2091,NGO,50,155282.5,0.1983673469387755,3.1039248203427308,10,0.004356908650006434,0.023795289055738886,0.001490632881054971
2092,NGS,10,44043.0,0.5111111111111111,3.6923714759535655,11,0.0002697332596106461,0.004679599970543639,0.00041779784107335205
2093,NGX,1,38.0,0.0,5.544776119402985,12,0.0,4.214960593771142e-06,4.411539032268217e-05
2094,NHA,3,1908.0,1.0,4.38391376451078,11,0.0,0.0003727029373083706,7.817715458134812e-05
2095,NHV,3,436.5,0.6666666666666666,4.5154781647318964,12,7.645802393319649e-08,9.140151388387828e-05,0.00011769729012440449
2096,NIB,1,25.0,0.0,5.211166390270868,13,0.0,5.057763493195304e-06,6.237901664780565e-05
2097,NIM,13,3650.0,0.46153846153846156,3.613598673300166,11,0.00010915911530478393,0.00737193233447776,0.0001533363702672169
2098,NIX,2,96.0,1.0,4.645660585959093,12,0.0,0.00012757660475053097,7.542763474743302e-05
2099,NJC,6,2838.0,0.7333333333333333,3.875069098949696,11,1.8401326096191156e-07,0.0035260459885324215,0.00011644357503271243
2100,NKC,10,3523.0,0.37777777777777777,3.6708126036484248,11,0.00123665971107301,0.0064905285029301955,0.0002211123572312341
2101,NKG,32,34597.5,0.47580645161290325,3.7495854063018244,11,0.00012590517794436215,0.0054139338284757,0.00042980141472561876
2102,NKI,2,16.0,1.0,4.963515754560531,13,0.0,2.1573016283986195e-05,7.397680053946944e-05
2103,NKN,2,38.0,0.0,6.731066887783306,12,6.37150199443304e-07,1.030832279594629e-08,0.00015752341533253552
2104,NKY,1,576.0,0.0,6.394969596462134,14,0.0,3.8097198334824584e-07,0.00012010903425728143
2105,NLA,7,932.0,0.23809523809523808,4.007739082365948,11,0.002089642728331419,0.0010636466500333962,0.00018449400315742728
2106,NLD,2,1656.0,1.0,4.141791044776119,12,0.0,0.001272353186736106,5.7842364892031303e-05
2107,NLF,2,99.0,1.0,5.458264234383638,11,0.0,1.6023545558188142e-06,9.939687752085543e-05
2108,NLG,2,32.0,0.0,5.2106135986733,13,0.000552944429084877,5.228514479468955e-06,0.00011046055777448783
